CAGDP2 Gross domestic product (GDP) by county 1
CAGDP2 Gross domestic product (GDP) by county 1
County
GeoFIPS,GeoName,LineCode,Description,2022,2023,2024
42031,"Clarion, PA",69,"      Educational services",6469,6810,7224
42031,"Clarion, PA",70,"      Health care and social assistance",154074,159784,168145
42031,"Clarion, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",52230,57511,58891
42031,"Clarion, PA",76,"      Arts, entertainment, and recreation",4789,5271,5742
42031,"Clarion, PA",79,"      Accommodation and food services",47441,52239,53149
42031,"Clarion, PA",82,"    Other services (except government and government enterprises)",62074,67267,68146
42031,"Clarion, PA",83,Government and government enterprises,243034,239016,248004
42031,"Clarion, PA",,Addenda:,,,
42031,"Clarion, PA",87,Natural resources and mining,68177,68464,37861
42031,"Clarion, PA",88,Trade,158166,174711,180767
42031,"Clarion, PA",89,Transportation and utilities,87153,65438,68772
42031,"Clarion, PA",90,Manufacturing and information,183005,180840,192421
42031,"Clarion, PA",91,Private goods-producing industries 2,302335,309654,295579
42031,"Clarion, PA",92,Private services-providing industries 3,841845,857248,888292
42033,"Clearfield, PA",1,All industry total,3608305,3866822,4033114
42033,"Clearfield, PA",2,"  Private industries",3182611,3427991,3577194
42033,"Clearfield, PA",3,"    Agriculture, forestry, fishing and hunting",27660,16635,15642
42033,"Clearfield, PA",6,"    Mining, quarrying, and oil and gas extraction",131753,129072,123255
42033,"Clearfield, PA",10,"    Utilities",70235,100409,100805
42033,"Clearfield, PA",11,"    Construction",92484,108342,114224
42033,"Clearfield, PA",12,"    Manufacturing",690750,620230,626888
42033,"Clearfield, PA",13,"      Durable goods manufacturing",219982,259419,264043
42033,"Clearfield, PA",25,"      Nondurable goods manufacturing",470768,360811,362845
42033,"Clearfield, PA",34,"    Wholesale trade",117976,122753,127446
42033,"Clearfield, PA",35,"    Retail trade",311583,336731,351633
42033,"Clearfield, PA",36,"    Transportation and warehousing",264415,304239,317977
42033,"Clearfield, PA",45,"    Information",61881,62531,64745
42033,"Clearfield, PA",50,"    Finance, insurance, real estate, rental, and leasing",475329,585560,632531
42033,"Clearfield, PA",51,"      Finance and insurance",115774,128034,140498
42033,"Clearfield, PA",56,"      Real estate and rental and leasing",359555,457527,492033
42033,"Clearfield, PA",59,"    Professional and business services",212226,274686,288379
42033,"Clearfield, PA",60,"      Professional, scientific, and technical services",71128,76137,81600
42033,"Clearfield, PA",64,"      Management of companies and enterprises",75504,84416,91982
42033,"Clearfield, PA",65,"      Administrative and support and waste management and remediation services",65595,114133,114797
42033,"Clearfield, PA",68,"    Educational services, health care, and social assistance",513309,531572,565395
42033,"Clearfield, PA",69,"      Educational services",19273,19593,21323
42033,"Clearfield, PA",70,"      Health care and social assistance",494036,511979,544072
42033,"Clearfield, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",88540,102361,104940
42033,"Clearfield, PA",76,"      Arts, entertainment, and recreation",8831,9931,10231
42033,"Clearfield, PA",79,"      Accommodation and food services",79708,92430,94709
42033,"Clearfield, PA",82,"    Other services (except government and government enterprises)",124470,132871,143333
42033,"Clearfield, PA",83,Government and government enterprises,425693,438831,455920
42033,"Clearfield, PA",,Addenda:,,,
42033,"Clearfield, PA",87,Natural resources and mining,159413,145706,138897
42033,"Clearfield, PA",88,Trade,429559,459484,479079
42033,"Clearfield, PA",89,Transportation and utilities,334650,404648,418782
42033,"Clearfield, PA",90,Manufacturing and information,752632,682761,691633
42033,"Clearfield, PA",91,Private goods-producing industries 2,942647,874278,880009
42033,"Clearfield, PA",92,Private services-providing industries 3,2239964,2553713,2697184
42035,"Clinton, PA",1,All industry total,1658728,1948790,1963098
42035,"Clinton, PA",2,"  Private industries",1426211,1718265,1725484
42035,"Clinton, PA",3,"    Agriculture, forestry, fishing and hunting",37676,23359,14128
42035,"Clinton, PA",6,"    Mining, quarrying, and oil and gas extraction",93583,163489,107984
42035,"Clinton, PA",10,"    Utilities",5359,3487,3808
42035,"Clinton, PA",11,"    Construction",76652,86559,91980
42035,"Clinton, PA",12,"    Manufacturing",506106,534065,551589
42035,"Clinton, PA",13,"      Durable goods manufacturing",94138,95350,91683
42035,"Clinton, PA",25,"      Nondurable goods manufacturing",411968,438715,459906
42035,"Clinton, PA",34,"    Wholesale trade",47725,60630,64863
42035,"Clinton, PA",35,"    Retail trade",124375,134893,141845
42035,"Clinton, PA",36,"    Transportation and warehousing",44248,129299,139673
42035,"Clinton, PA",45,"    Information",19971,24003,24448
42035,"Clinton, PA",50,"    Finance, insurance, real estate, rental, and leasing",233456,287012,297838
42035,"Clinton, PA",51,"      Finance and insurance",39301,41722,45207
42035,"Clinton, PA",56,"      Real estate and rental and leasing",194155,245290,252631
42035,"Clinton, PA",59,"    Professional and business services",42917,52225,54512
42035,"Clinton, PA",60,"      Professional, scientific, and technical services",23084,28119,30048
42035,"Clinton, PA",64,"      Management of companies and enterprises",1201,3894,1763
42035,"Clinton, PA",65,"      Administrative and support and waste management and remediation services",18631,20213,22700
42035,"Clinton, PA",68,"    Educational services, health care, and social assistance",108570,124177,133812
42035,"Clinton, PA",69,"      Educational services",(D),(D),(D)
42035,"Clinton, PA",70,"      Health care and social assistance",(D),(D),(D)
42035,"Clinton, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",43940,48861,50607
42035,"Clinton, PA",76,"      Arts, entertainment, and recreation",3822,4741,5105
42035,"Clinton, PA",79,"      Accommodation and food services",40118,44120,45502
42035,"Clinton, PA",82,"    Other services (except government and government enterprises)",41634,46205,48398
42035,"Clinton, PA",83,Government and government enterprises,232517,230525,237614
42035,"Clinton, PA",,Addenda:,,,
42035,"Clinton, PA",87,Natural resources and mining,131259,186848,122112
42035,"Clinton, PA",88,Trade,172101,195523,206708
42035,"Clinton, PA",89,Transportation and utilities,49607,132786,143481
42035,"Clinton, PA",90,Manufacturing and information,526077,558068,576036
42035,"Clinton, PA",91,Private goods-producing industries 2,714016,807472,765680
42035,"Clinton, PA",92,Private services-providing industries 3,712195,910792,959804
42037,"Columbia, PA",1,All industry total,2873516,3149814,3276472
42037,"Columbia, PA",2,"  Private industries",2495587,2767793,2882085
42037,"Columbia, PA",3,"    Agriculture, forestry, fishing and hunting",36854,21424,10055
42037,"Columbia, PA",6,"    Mining, quarrying, and oil and gas extraction",7889,8735,7304
42037,"Columbia, PA",10,"    Utilities",11509,31627,34790
42037,"Columbia, PA",11,"    Construction",113864,113513,113500
42037,"Columbia, PA",12,"    Manufacturing",565922,628257,625192
42037,"Columbia, PA",13,"      Durable goods manufacturing",332300,367331,352086
42037,"Columbia, PA",25,"      Nondurable goods manufacturing",233623,260926,273107
42037,"Columbia, PA",34,"    Wholesale trade",58371,63546,65501
42037,"Columbia, PA",35,"    Retail trade",268988,293106,307228
42037,"Columbia, PA",36,"    Transportation and warehousing",191681,215848,228799
42037,"Columbia, PA",45,"    Information",85775,83946,88352
42037,"Columbia, PA",50,"    Finance, insurance, real estate, rental, and leasing",468804,567103,615086
42037,"Columbia, PA",51,"      Finance and insurance",92608,99869,108360
42037,"Columbia, PA",56,"      Real estate and rental and leasing",376196,467234,506726
42037,"Columbia, PA",59,"    Professional and business services",268500,292093,306803
42037,"Columbia, PA",60,"      Professional, scientific, and technical services",86742,103546,107413
42037,"Columbia, PA",64,"      Management of companies and enterprises",135869,140009,147146
42037,"Columbia, PA",65,"      Administrative and support and waste management and remediation services",45890,48539,52245
42037,"Columbia, PA",68,"    Educational services, health care, and social assistance",225490,227449,245476
42037,"Columbia, PA",69,"      Educational services",19893,19468,18855
42037,"Columbia, PA",70,"      Health care and social assistance",205597,207982,226621
42037,"Columbia, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",112202,133949,139673
42037,"Columbia, PA",76,"      Arts, entertainment, and recreation",15230,19840,20992
42037,"Columbia, PA",79,"      Accommodation and food services",96972,114109,118680
42037,"Columbia, PA",82,"    Other services (except government and government enterprises)",79737,87196,94326
42037,"Columbia, PA",83,Government and government enterprises,377929,382021,394388
42037,"Columbia, PA",,Addenda:,,,
42037,"Columbia, PA",87,Natural resources and mining,44743,30159,17359
42037,"Columbia, PA",88,Trade,327359,356652,372729
42037,"Columbia, PA",89,Transportation and utilities,203190,247475,263589
42037,"Columbia, PA",90,Manufacturing and information,651697,712203,713544
42037,"Columbia, PA",91,Private goods-producing industries 2,724530,771929,756052
42037,"Columbia, PA",92,Private services-providing industries 3,1771058,1995864,2126033
42039,"Crawford, PA",1,All industry total,3481080,3555855,3664748
42039,"Crawford, PA",2,"  Private industries",3123804,3188673,3292851
42039,"Crawford, PA",3,"    Agriculture, forestry, fishing and hunting",104682,73289,80822
42039,"Crawford, PA",6,"    Mining, quarrying, and oil and gas extraction",55923,58860,77657
42039,"Crawford, PA",10,"    Utilities",14422,15404,16084
42039,"Crawford, PA",11,"    Construction",137742,153676,169527
42039,"Crawford, PA",12,"    Manufacturing",907629,964739,961595
42039,"Crawford, PA",13,"      Durable goods manufacturing",505344,533546,539045
42039,"Crawford, PA",25,"      Nondurable goods manufacturing",402285,431193,422550
42039,"Crawford, PA",34,"    Wholesale trade",80344,80167,83484
42039,"Crawford, PA",35,"    Retail trade",247028,268290,277109
42039,"Crawford, PA",36,"    Transportation and warehousing",79350,59755,60019
42039,"Crawford, PA",45,"    Information",95010,84068,87346
42039,"Crawford, PA",50,"    Finance, insurance, real estate, rental, and leasing",572592,542484,546519
42039,"Crawford, PA",51,"      Finance and insurance",99338,107767,108253
42039,"Crawford, PA",56,"      Real estate and rental and leasing",473254,434717,438266
42039,"Crawford, PA",59,"    Professional and business services",158131,159900,156284
42039,"Crawford, PA",60,"      Professional, scientific, and technical services",81583,86872,91456
42039,"Crawford, PA",64,"      Management of companies and enterprises",16042,15841,11075
42039,"Crawford, PA",65,"      Administrative and support and waste management and remediation services",60506,57188,53753
42039,"Crawford, PA",68,"    Educational services, health care, and social assistance",468856,505649,544428
42039,"Crawford, PA",69,"      Educational services",59403,58746,61028
42039,"Crawford, PA",70,"      Health care and social assistance",409452,446904,483401
42039,"Crawford, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",85291,95841,98955
42039,"Crawford, PA",76,"      Arts, entertainment, and recreation",9303,9948,10245
42039,"Crawford, PA",79,"      Accommodation and food services",75988,85892,88710
42039,"Crawford, PA",82,"    Other services (except government and government enterprises)",116806,126549,133023
42039,"Crawford, PA",83,Government and government enterprises,357276,367182,371897
42039,"Crawford, PA",,Addenda:,,,
42039,"Crawford, PA",87,Natural resources and mining,160604,132150,158478
42039,"Crawford, PA",88,Trade,327371,348457,360593
42039,"Crawford, PA",89,Transportation and utilities,93773,75160,76103
42039,"Crawford, PA",90,Manufacturing and information,1002638,1048807,1048941
42039,"Crawford, PA",91,Private goods-producing industries 2,1205975,1250565,1289600
42039,"Crawford, PA",92,Private services-providing industries 3,1917830,1938108,2003250
42041,"Cumberland, PA",1,All industry total,20501708,21783105,23098142
42041,"Cumberland, PA",2,"  Private industries",18323414,19522258,20749941
42041,"Cumberland, PA",3,"    Agriculture, forestry, fishing and hunting",208140,179144,130078
42041,"Cumberland, PA",6,"    Mining, quarrying, and oil and gas extraction",17638,19460,13175
42041,"Cumberland, PA",10,"    Utilities",26414,27477,28851
42041,"Cumberland, PA",11,"    Construction",721050,768503,793096
42041,"Cumberland, PA",12,"    Manufacturing",1329550,1421884,1435788
42041,"Cumberland, PA",13,"      Durable goods manufacturing",413620,433081,416986
42041,"Cumberland, PA",25,"      Nondurable goods manufacturing",915930,988803,1018802
42041,"Cumberland, PA",34,"    Wholesale trade",949717,1023311,1121704
42041,"Cumberland, PA",35,"    Retail trade",1479386,1626441,1687122
42041,"Cumberland, PA",36,"    Transportation and warehousing",2034453,1933450,1966964
42041,"Cumberland, PA",45,"    Information",639955,627695,622457
42041,"Cumberland, PA",50,"    Finance, insurance, real estate, rental, and leasing",4153166,4607088,4966949
42041,"Cumberland, PA",51,"      Finance and insurance",1737500,1884057,2053621
42041,"Cumberland, PA",56,"      Real estate and rental and leasing",2415666,2723031,2913329
42041,"Cumberland, PA",59,"    Professional and business services",3254095,3331882,3746903
42041,"Cumberland, PA",60,"      Professional, scientific, and technical services",1902345,1939470,2118556
42041,"Cumberland, PA",64,"      Management of companies and enterprises",765254,812907,1030596
42041,"Cumberland, PA",65,"      Administrative and support and waste management and remediation services",586497,579505,597751
42041,"Cumberland, PA",68,"    Educational services, health care, and social assistance",2442116,2750334,2990196
42041,"Cumberland, PA",69,"      Educational services",284516,300920,317633
42041,"Cumberland, PA",70,"      Health care and social assistance",2157600,2449414,2672563
42041,"Cumberland, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",565440,644499,664922
42041,"Cumberland, PA",76,"      Arts, entertainment, and recreation",99284,130478,143165
42041,"Cumberland, PA",79,"      Accommodation and food services",466156,514020,521757
42041,"Cumberland, PA",82,"    Other services (except government and government enterprises)",502295,561091,581736
42041,"Cumberland, PA",83,Government and government enterprises,2178294,2260847,2348201
42041,"Cumberland, PA",,Addenda:,,,
42041,"Cumberland, PA",87,Natural resources and mining,225778,198603,143254
42041,"Cumberland, PA",88,Trade,2429103,2649751,2808826
42041,"Cumberland, PA",89,Transportation and utilities,2060867,1960928,1995815
42041,"Cumberland, PA",90,Manufacturing and information,1969505,2049579,2058245
42041,"Cumberland, PA",91,Private goods-producing industries 2,2276378,2388990,2372138
42041,"Cumberland, PA",92,Private services-providing industries 3,16047036,17133268,18377803
42043,"Dauphin, PA",1,All industry total,26191483,27667486,28909442
42043,"Dauphin, PA",2,"  Private industries",21955416,23297690,24265767
42043,"Dauphin, PA",3,"    Agriculture, forestry, fishing and hunting",111859,103955,81007
42043,"Dauphin, PA",6,"    Mining, quarrying, and oil and gas extraction",9578,10577,7175
42043,"Dauphin, PA",10,"    Utilities",87965,66330,69395
42043,"Dauphin, PA",11,"    Construction",794200,825005,936038
42043,"Dauphin, PA",12,"    Manufacturing",1997546,2117563,2148436
42043,"Dauphin, PA",13,"      Durable goods manufacturing",1171146,1194738,1233716
42043,"Dauphin, PA",25,"      Nondurable goods manufacturing",826401,922825,914720
42043,"Dauphin, PA",34,"    Wholesale trade",1753228,1810013,1822478
42043,"Dauphin, PA",35,"    Retail trade",1140116,1246063,1293563
42043,"Dauphin, PA",36,"    Transportation and warehousing",1425168,1436943,1480806
42043,"Dauphin, PA",45,"    Information",754364,730654,714142
42043,"Dauphin, PA",50,"    Finance, insurance, real estate, rental, and leasing",4578340,4979315,5205519
42043,"Dauphin, PA",51,"      Finance and insurance",2289862,2477974,2507137
42043,"Dauphin, PA",56,"      Real estate and rental and leasing",2288478,2501341,2698381
42043,"Dauphin, PA",59,"    Professional and business services",3362046,3589434,3763144
42043,"Dauphin, PA",60,"      Professional, scientific, and technical services",1541248,1639586,1755662
42043,"Dauphin, PA",64,"      Management of companies and enterprises",984115,1078766,1146763
42043,"Dauphin, PA",65,"      Administrative and support and waste management and remediation services",836682,871082,860718
42043,"Dauphin, PA",68,"    Educational services, health care, and social assistance",4055235,4362818,4598229
42043,"Dauphin, PA",69,"      Educational services",430083,455275,460348
42043,"Dauphin, PA",70,"      Health care and social assistance",3625152,3907544,4137882
42043,"Dauphin, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",1270185,1364250,1420882
42043,"Dauphin, PA",76,"      Arts, entertainment, and recreation",560438,608456,640291
42043,"Dauphin, PA",79,"      Accommodation and food services",709747,755795,780591
42043,"Dauphin, PA",82,"    Other services (except government and government enterprises)",615587,654768,724951
42043,"Dauphin, PA",83,Government and government enterprises,4236067,4369797,4643675
42043,"Dauphin, PA",,Addenda:,,,
42043,"Dauphin, PA",87,Natural resources and mining,121437,114533,88183
42043,"Dauphin, PA",88,Trade,2893343,3056076,3116041
42043,"Dauphin, PA",89,Transportation and utilities,1513133,1503273,1550202
42043,"Dauphin, PA",90,Manufacturing and information,2751911,2848217,2862578
42043,"Dauphin, PA",91,Private goods-producing industries 2,2913183,3057101,3172657
42043,"Dauphin, PA",92,Private services-providing industries 3,19042233,20240589,21093109
42045,"Delaware, PA",1,All industry total,39895570,41201828,42607881
42045,"Delaware, PA",2,"  Private industries",37254085,38423527,39669703
42045,"Delaware, PA",3,"    Agriculture, forestry, fishing and hunting",4347,13213,12037
42045,"Delaware, PA",6,"    Mining, quarrying, and oil and gas extraction",20624,20007,4964
42045,"Delaware, PA",10,"    Utilities",561172,637883,641915
42045,"Delaware, PA",11,"    Construction",1817083,1832328,1913213
42045,"Delaware, PA",12,"    Manufacturing",3489174,3163616,3060387
42045,"Delaware, PA",13,"      Durable goods manufacturing",1534316,1598616,1535486
42045,"Delaware, PA",25,"      Nondurable goods manufacturing",1954858,1565001,1524900
42045,"Delaware, PA",34,"    Wholesale trade",1497048,1552348,1542872
42045,"Delaware, PA",35,"    Retail trade",2565054,2768492,2879753
42045,"Delaware, PA",36,"    Transportation and warehousing",2447554,2327807,2402552
42045,"Delaware, PA",45,"    Information",1890381,1865749,1860987
42045,"Delaware, PA",50,"    Finance, insurance, real estate, rental, and leasing",9883246,10131375,10417147
42045,"Delaware, PA",51,"      Finance and insurance",3560386,3332259,3359316
42045,"Delaware, PA",56,"      Real estate and rental and leasing",6322860,6799115,7057831
42045,"Delaware, PA",59,"    Professional and business services",5846761,6183601,6574027
42045,"Delaware, PA",60,"      Professional, scientific, and technical services",2405604,2593498,2655880
42045,"Delaware, PA",64,"      Management of companies and enterprises",2059072,2191871,2487805
42045,"Delaware, PA",65,"      Administrative and support and waste management and remediation services",1382085,1398233,1430341
42045,"Delaware, PA",68,"    Educational services, health care, and social assistance",5081865,5448302,5760564
42045,"Delaware, PA",69,"      Educational services",1376255,1442554,1549672
42045,"Delaware, PA",70,"      Health care and social assistance",3705610,4005748,4210891
42045,"Delaware, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",1194474,1451443,1510314
42045,"Delaware, PA",76,"      Arts, entertainment, and recreation",417908,496823,521287
42045,"Delaware, PA",79,"      Accommodation and food services",776566,954619,989027
42045,"Delaware, PA",82,"    Other services (except government and government enterprises)",955302,1027363,1088974
42045,"Delaware, PA",83,Government and government enterprises,2641485,2778302,2938177
42045,"Delaware, PA",,Addenda:,,,
42045,"Delaware, PA",87,Natural resources and mining,24970,33220,17000
42045,"Delaware, PA",88,Trade,4062102,4320840,4422624
42045,"Delaware, PA",89,Transportation and utilities,3008726,2965690,3044467
42045,"Delaware, PA",90,Manufacturing and information,5379555,5029365,4921373
42045,"Delaware, PA",91,Private goods-producing industries 2,5331227,5029164,4990600
42045,"Delaware, PA",92,Private services-providing industries 3,31922858,33394362,34679104
42047,"Elk, PA",1,All industry total,1665964,1787689,1830032
42047,"Elk, PA",2,"  Private industries",1562947,1680191,1719133
42047,"Elk, PA",3,"    Agriculture, forestry, fishing and hunting",6656,4686,5159
42047,"Elk, PA",6,"    Mining, quarrying, and oil and gas extraction",119008,81160,70557
42047,"Elk, PA",10,"    Utilities",13477,9742,8766
42047,"Elk, PA",11,"    Construction",47511,54760,59437
42047,"Elk, PA",12,"    Manufacturing",732318,778847,783167
42047,"Elk, PA",13,"      Durable goods manufacturing",580626,611953,611697
42047,"Elk, PA",25,"      Nondurable goods manufacturing",151692,166894,171470
42047,"Elk, PA",34,"    Wholesale trade",(D),(D),(D)
42047,"Elk, PA",35,"    Retail trade",88194,94281,98729
42047,"Elk, PA",36,"    Transportation and warehousing",42299,83661,83896
42047,"Elk, PA",45,"    Information",21964,22333,21978
42047,"Elk, PA",50,"    Finance, insurance, real estate, rental, and leasing",(D),(D),(D)
42047,"Elk, PA",51,"      Finance and insurance",44636,48510,52351
42047,"Elk, PA",56,"      Real estate and rental and leasing",(D),(D),(D)
42047,"Elk, PA",59,"    Professional and business services",60254,65748,66486
42047,"Elk, PA",60,"      Professional, scientific, and technical services",26602,28749,30831
42047,"Elk, PA",64,"      Management of companies and enterprises",15279,16780,16581
42047,"Elk, PA",65,"      Administrative and support and waste management and remediation services",18372,20219,19074
42047,"Elk, PA",68,"    Educational services, health care, and social assistance",118896,118644,121843
42047,"Elk, PA",69,"      Educational services",(D),(D),(D)
42047,"Elk, PA",70,"      Health care and social assistance",(D),(D),(D)
42047,"Elk, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",28046,31730,33041
42047,"Elk, PA",76,"      Arts, entertainment, and recreation",4275,4362,3428
42047,"Elk, PA",79,"      Accommodation and food services",23770,27368,29613
42047,"Elk, PA",82,"    Other services (except government and government enterprises)",40778,42950,45884
42047,"Elk, PA",83,Government and government enterprises,103017,107499,110899
42047,"Elk, PA",,Addenda:,,,
42047,"Elk, PA",87,Natural resources and mining,125665,85846,75716
42047,"Elk, PA",88,Trade,(D),(D),(D)
42047,"Elk, PA",89,Transportation and utilities,55777,93403,92661
42047,"Elk, PA",90,Manufacturing and information,754282,801180,805145
42047,"Elk, PA",91,Private goods-producing industries 2,905494,919453,918321
42047,"Elk, PA",92,Private services-providing industries 3,657453,760738,800812
42049,"Erie, PA",1,All industry total,13273353,14335119,15023861
42049,"Erie, PA",2,"  Private industries",11691971,12709756,13329926
42049,"Erie, PA",3,"    Agriculture, forestry, fishing and hunting",27739,9482,21940
42049,"Erie, PA",6,"    Mining, quarrying, and oil and gas extraction",8125,8576,6638
42049,"Erie, PA",10,"    Utilities",59104,61314,64804
42049,"Erie, PA",11,"    Construction",458768,498541,521123
42049,"Erie, PA",12,"    Manufacturing",2185390,2345478,2401589
42049,"Erie, PA",13,"      Durable goods manufacturing",1336636,1411769,1453564
42049,"Erie, PA",25,"      Nondurable goods manufacturing",848754,933708,948025
42049,"Erie, PA",34,"    Wholesale trade",415664,431578,462431
42049,"Erie, PA",35,"    Retail trade",1023335,1100442,1133666
42049,"Erie, PA",36,"    Transportation and warehousing",304504,525970,549886
42049,"Erie, PA",45,"    Information",478756,474859,483394
42049,"Erie, PA",50,"    Finance, insurance, real estate, rental, and leasing",2684176,2906837,3093252
42049,"Erie, PA",51,"      Finance and insurance",1127551,1250109,1382238
42049,"Erie, PA",56,"      Real estate and rental and leasing",1556625,1656728,1711014
42049,"Erie, PA",59,"    Professional and business services",830552,888205,924439
42049,"Erie, PA",60,"      Professional, scientific, and technical services",460382,502497,538103
42049,"Erie, PA",64,"      Management of companies and enterprises",75670,73548,73743
42049,"Erie, PA",65,"      Administrative and support and waste management and remediation services",294500,312160,312593
42049,"Erie, PA",68,"    Educational services, health care, and social assistance",2150918,2316057,2487390
42049,"Erie, PA",69,"      Educational services",260690,273623,285062
42049,"Erie, PA",70,"      Health care and social assistance",1890228,2042434,2202327
42049,"Erie, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",631150,680574,710631
42049,"Erie, PA",76,"      Arts, entertainment, and recreation",148950,165812,176990
42049,"Erie, PA",79,"      Accommodation and food services",482200,514763,533641
42049,"Erie, PA",82,"    Other services (except government and government enterprises)",433790,461843,468743
42049,"Erie, PA",83,Government and government enterprises,1581382,1625363,1693936
42049,"Erie, PA",,Addenda:,,,
42049,"Erie, PA",87,Natural resources and mining,35864,18057,28578
42049,"Erie, PA",88,Trade,1439000,1532020,1596097
42049,"Erie, PA",89,Transportation and utilities,363607,587284,614690
42049,"Erie, PA",90,Manufacturing and information,2664146,2820337,2884982
42049,"Erie, PA",91,Private goods-producing industries 2,2680022,2862076,2951290
42049,"Erie, PA",92,Private services-providing industries 3,9011949,9847680,10378636
42051,"Fayette, PA",1,All industry total,4960950,5393659,5442345
42051,"Fayette, PA",2,"  Private industries",4374368,4792560,4823356
42051,"Fayette, PA",3,"    Agriculture, forestry, fishing and hunting",12716,4022,4007
42051,"Fayette, PA",6,"    Mining, quarrying, and oil and gas extraction",415075,407423,278171
42051,"Fayette, PA",10,"    Utilities",281281,319523,299965
42051,"Fayette, PA",11,"    Construction",166656,195024,204429
42051,"Fayette, PA",12,"    Manufacturing",549044,576577,590555
42051,"Fayette, PA",13,"      Durable goods manufacturing",384751,397531,408288
42051,"Fayette, PA",25,"      Nondurable goods manufacturing",164294,179046,182266
42051,"Fayette, PA",34,"    Wholesale trade",192157,204037,219192
42051,"Fayette, PA",35,"    Retail trade",428311,464504,474372
42051,"Fayette, PA",36,"    Transportation and warehousing",193644,351012,363751
42051,"Fayette, PA",45,"    Information",222738,216501,211133
42051,"Fayette, PA",50,"    Finance, insurance, real estate, rental, and leasing",718269,752553,782056
42051,"Fayette, PA",51,"      Finance and insurance",109398,121438,134901
42051,"Fayette, PA",56,"      Real estate and rental and leasing",608871,631116,647155
42051,"Fayette, PA",59,"    Professional and business services",251653,277391,288701
42051,"Fayette, PA",60,"      Professional, scientific, and technical services",106881,121721,133812
42051,"Fayette, PA",64,"      Management of companies and enterprises",19425,22128,21667
42051,"Fayette, PA",65,"      Administrative and support and waste management and remediation services",125347,133542,133221
42051,"Fayette, PA",68,"    Educational services, health care, and social assistance",521230,559984,602873
42051,"Fayette, PA",69,"      Educational services",18780,21393,27976
42051,"Fayette, PA",70,"      Health care and social assistance",502450,538591,574898
42051,"Fayette, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",274929,305615,336065
42051,"Fayette, PA",76,"      Arts, entertainment, and recreation",50488,55559,58813
42051,"Fayette, PA",79,"      Accommodation and food services",224441,250057,277252
42051,"Fayette, PA",82,"    Other services (except government and government enterprises)",146664,158394,168086
42051,"Fayette, PA",83,Government and government enterprises,586582,601099,618990
42051,"Fayette, PA",,Addenda:,,,
42051,"Fayette, PA",87,Natural resources and mining,427790,411445,282177
42051,"Fayette, PA",88,Trade,620468,668541,693564
42051,"Fayette, PA",89,Transportation and utilities,474925,670535,663716
42051,"Fayette, PA",90,Manufacturing and information,771782,793078,801688
42051,"Fayette, PA",91,Private goods-producing industries 2,1143491,1183046,1077161
42051,"Fayette, PA",92,Private services-providing industries 3,3230877,3609514,3746195
42053,"Forest, PA",1,All industry total,264915,267105,269719
42053,"Forest, PA",2,"  Private industries",144099,143184,142295
42053,"Forest, PA",3,"    Agriculture, forestry, fishing and hunting",15033,15617,15775
42053,"Forest, PA",6,"    Mining, quarrying, and oil and gas extraction",8068,(D),7422
42053,"Forest, PA",10,"    Utilities",(D),14,0
42053,"Forest, PA",11,"    Construction",3486,3557,(D)
42053,"Forest, PA",12,"    Manufacturing",12794,(D),(D)
42053,"Forest, PA",13,"      Durable goods manufacturing",12147,(D),(D)
42053,"Forest, PA",25,"      Nondurable goods manufacturing",647,290,287
42053,"Forest, PA",34,"    Wholesale trade",2015,(D),(D)
42053,"Forest, PA",35,"    Retail trade",6856,7891,8426
42053,"Forest, PA",36,"    Transportation and warehousing",2218,(D),(D)
42053,"Forest, PA",45,"    Information",(D),(D),(D)
42053,"Forest, PA",50,"    Finance, insurance, real estate, rental, and leasing",(D),(D),(D)
42053,"Forest, PA",51,"      Finance and insurance",(D),(D),(D)
42053,"Forest, PA",56,"      Real estate and rental and leasing",61482,59760,57952
42053,"Forest, PA",59,"    Professional and business services",(D),(D),(D)
42053,"Forest, PA",60,"      Professional, scientific, and technical services",(D),(D),(D)
42053,"Forest, PA",64,"      Management of companies and enterprises",(D),0,0
42053,"Forest, PA",65,"      Administrative and support and waste management and remediation services",635,548,(D)
42053,"Forest, PA",68,"    Educational services, health care, and social assistance",18806,18861,19728
42053,"Forest, PA",69,"      Educational services",186,242,253
42053,"Forest, PA",70,"      Health care and social assistance",18620,18619,19475
42053,"Forest, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",6059,6529,6564
42053,"Forest, PA",76,"      Arts, entertainment, and recreation",534,223,241
42053,"Forest, PA",79,"      Accommodation and food services",5525,6306,6323
42053,"Forest, PA",82,"    Other services (except government and government enterprises)",2789,3013,3319
42053,"Forest, PA",83,Government and government enterprises,120815,123921,127424
42053,"Forest, PA",,Addenda:,,,
42053,"Forest, PA",87,Natural resources and mining,23101,(D),23197
